lesson	page	czech	english
1	9	a	and
1	9	anglicky	English
1	9	ano	yes
1	9	banka [f]	bank
1	9	být	be
1	9	co	what
1	9	česky	Czech (adv)
1	9	český	Czech (adj)
1	9	číslo [n]	number
1	9	děkovat	thank
1	9	dělat	do
1	9	den [mi]	day
1	9	dialog [mi]	dialogue
1	9	formální	formal
1	9	informace [f]	information
1	9	já	I
1	9	jak	how
1	9	jednou	once
1	9	ještě	even, still, again, yet, more
1	9	jo coll.	yeah
1	9	kdo	who
1	9	kontaktní	contact
1	9	krok [mi]	step
1	9	lekce [f]	lesson
1	9	mít	have
1	9	mluvit	speak, talk
1	9	německy	German
1	9	otázka [f]	question
1	9	poslouchat	listen
1	9	profese [f]	profession
1	9	prosit	ask for
1	9	psát*, píšu	write
1	9	rozumět	understand
1	9	rusky	Russian
1	9	říct*, řeknu pf.	say
1	9	seznamovat se	meet, get to know
1	9	slovní	word
1	9	slovo [n]	word
1	9	ten	that
1	9	těšit (Těší mě.)	please (Nice to meet you.)
1	9	ty	you
1	9	výslovnost [f]	pronunciation
1	9	za	behind, for, on, in
1	9	znamenat	mean
1	10	adjektivum [n]	adjective
1	10	ahoj	hi
1	10	aktivní	active
1	10	animatum [n]	animate noun
1	10	auto [n]	car
1	10	autobus [mi]	bus
1	10	centrum [n]	center
1	10	cvičení [n]	exercise
1	10	často	often
1	10	doktor, doktorka [ma]	doctor
1	10	energický	energetic
1	10	espresso [n]	espresso
1	10	femininum [n]	feminine noun
1	10	film [mi]	movie
1	10	fotografie [f]	photo
1	10	hotel [mi]	hotel
1	10	infocentrum [n]	info center
1	10	inteligentní	smart, intelligent
1	10	jaký	what, what kind, how
1	10	jazyk [mi]	language
1	10	jiný	other, different
1	10	k	to
1	10	kamarád, kamarádka [ma]	friend
1	10	kino [n]	cinema
1	10	komunikovat	communicate
1	10	koncert [mi]	concert
1	10	končit	end
1	10	konference [f]	conference
1	10	kontakt [mi]	contact
1	10	kvalitní	high-quality
1	10	manažer, manažerka [ma]	manager
1	10	maskulinum [n]	masculine noun
1	10	metro [n]	metro
1	10	mítink [mi]	meeting
1	10	model, modelka [ma]	model
1	10	moderní	modern
1	10	na	on, for
1	10	například	for example
1	10	neutrum [n]	neuter noun
1	10	o	about, on
1	10	optimistický	optimistic
1	10	organizovat	organize
1	10	pár [mi]	couple
1	10	písmeno [n]	letter
1	10	plánovat	plan
1	10	podle	according to, based on
1	10	policie [f]	police
1	10	politik, politička [ma]	politician
1	10	pracovat	work
1	10	prezident, prezidentka [ma]	president
1	10	problém [mi]	problem
1	10	profesor, profesorka [ma]	professor
1	10	program [mi]	program
1	10	ptát se	ask
1	10	rádio [n]	radio
1	10	reagovat	respond
1	10	republika [f]	republic
1	10	restaurace [f]	restaurant
1	10	sloveso [n]	verb
1	10	student, studentka [ma]	student
1	10	studovat	study
1	10	supermarket [mi]	supermarket
1	10	škola [f]	school
1	10	taxi, taxík coll. [n]	taxi
1	10	telefonovat	make a phone call
1	10	tramvaj [f]	tram
1	10	typický	typical
1	10	u	at, near, next to
1	10	univerzita [f]	university
1	10	v	in
1	10	verbum [n]	verbum
1	10	vidět	see
1	10	víno [n]	wine
1	10	z	from
1	10	znát	know
1	11	aha	aha
1	11	Amerika [f]	America
1	11	Austrálie [f]	Australia
1	11	čeština [f]	Czech (language)
1	11	druhý	second
1	11	hezky	nice
1	11	když	when
1	11	někdo	someone
1	11	odkud	from where
1	11	říkat	say
1	11	s	with
1	11	tady	here
1	11	taky	too, also
1	11	zajímavý	interesting
1	12	asi	about, perhaps
1	12	au	ouch
1	12	Bulharsko [n]	Bulgaria
1	12	čau	hi
1	12	dík coll., díky coll.	thanks
1	12	jeho	his
1	12	kontrolovat	check
1	12	nebo	or
1	12	nic	nothing
1	12	pak	then
1	12	podívat se pf.	take a look
1	12	podobný	similar
1	12	prominout*, prominu pf.	excuse
1	12	představovat	present
1	12	text [mi]	text
1	12	tvořit	form
1	13	čas [mi]	time
1	13	forma [f]	form
1	13	jíst, jím	eat
1	13	negativní	negative
1	13	obrázek dimin. [mi]	picture
1	13	on	he
1	13	osobní	personal
1	13	personální	personnel, HR
1	13	používat	use
1	13	pozor [mi]	caution, attention
1	13	přečíst*, přečtu pf.	read
1	13	sem	here
1	13	spát, spím	sleep
1	13	stát*, stojí	1. cost 2. stand
1	13	také	also
1	14	ale	but
1	14	číst*, čtu	read
1	14	člověk [ma]	man, person
1	14	dobře	well
1	14	jeden	one
1	14	lékař, lékařka [ma]	doctor
1	14	mužský	masculine
1	14	náhoda [f]	coincidence
1	14	Německo [n]	Germany
1	14	no	well
1	14	nový	new
1	14	pan [ma]	Mr., sir
1	14	paní [f]	Mrs., lady
1	14	Polsko [n]	Poland
1	14	představit pf.	present
1	14	slavný	famous
1	14	slečna [f]	Miss
1	14	sportovec, sportovkyně [ma]	athlete
1	14	špatně	wrong, bad
1	14	takže	so
1	14	tento	this
1	14	tykat	use informal way to address
1	14	určitě	definitely
1	14	úředník, úřednice [ma]	officer
1	14	vědět, vím	know
1	14	výraz [mi]	expression
1	14	že	that
1	14	ženský	feminine
1	15	cena [f]	price
1	15	česat* se, češu se	comb hair
1	15	čtyři	four
1	15	deset	ten
1	15	devět	nine
1	15	dlouhý	long
1	15	dva	two
1	15	e-mail [mi]	email
1	15	mobil [mi]	mobile phone
1	15	nula [f]	zero
1	15	osm	eight
1	15	pamatovat si	remember
1	15	pět	five
1	15	plus [mi]	plus
